Star 1,Country of birth
Tim Robbins,Estados Unidos
Marlon Brando,Estados Unidos
Christian Bale,Reino Unido
Al Pacino,Estados Unidos
Henry Fonda,Estados Unidos
Elijah Wood,Estados Unidos
John Travolta,Estados Unidos
Liam Neeson,Irlanda del Norte
Leonardo DiCaprio,Estados Unidos
Brad Pitt,Estados Unidos
Tom Hanks,Estados Unidos
Clint Eastwood,Estados Unidos
Lilly Wachowski,Estados Unidos
Robert De Niro,Estados Unidos
Mark Hamill,Estados Unidos
Jack Nicholson,Estados Unidos
Lin-Manuel Miranda,Estados Unidos
Kang-ho Song,Corea del Sur
Suriya,India
Matthew McConaughey,Estados Unidos
Kátia Lund,Brasil
Daveigh Chase,Estados Unidos
Roberto Benigni,Italia
Morgan Freeman,Estados Unidos
Jodie Foster,Estados Unidos
Tatsuya Nakadai,Japón
Toshirô Mifune,Japón
James Stewart,Estados Unidos
Joaquin Phoenix,Puerto Rico
Miles Teller,Estados Unidos
Éric Toledano,Francia
Adrien Brody,Estados Unidos
Russell Crowe,Nueva Zelanda
Edward Norton,Estados Unidos
Kevin Spacey,Estados Unidos
Jean Reno,Marruecos
Rob Minkoff,Estados Unidos
Arnold Schwarzenegger,Austria
Philippe Noiret,Francia
Tsutomu Tatsumi,Japón
Michael J. Fox,Canadá
Anthony Perkins,Estados Unidos
Humphrey Bogart,Estados Unidos
Charles Chaplin,Reino Unido
Zain Al Rafeea,Siria
Erdem Can,Turquía
Pushkar,India
Ryûnosuke Kamiki,Japón
Aamir Khan,India
Peter Ramsey,Estados Unidos
Joe Russo,Estados Unidos
Adrian Molina,Estados Unidos
Jamie Foxx,Estados Unidos
Amole Gupte,India
Ben Burtt,Estados Unidos
Ulrich Mühe,Alemania
Choi Min-sik,Corea del Sur
Guy Pearce,Reino Unido
Yôji Matsuda,Japón
Harrison Ford,Estados Unidos
Martin Sheen,Estados Unidos
Sigourney Weaver,Estados Unidos
Rajesh Khanna,India
Peter Sellers,Reino Unido
Tyrone Power,Estados Unidos
Kirk Douglas,Estados Unidos
William Holden,Estados Unidos
Dean-Charles Chapman,Reino Unido
Anand Gandhi,India
Ayushmann Khurrana,India
Mohanlal,India
Mads Mikkelsen,Dinamarca
Payman Maadi,Estados Unidos
Lubna Azabal,Bélgica
Aras Bulut Iynemli,Turquía
Çetin Tekindor,Turquía
Jim Carrey,Canadá
Audrey Tautou,Francia
Jason Statham,Reino Unido
Ellen Burstyn,Estados Unidos
Robin Williams,Estados Unidos
Mohammad Amir Naji,Irán
Mel Gibson,Estados Unidos
Harvey Keitel,Estados Unidos
Matthew Modine,Estados Unidos
Aleksey Kravchenko,Rusia
F. Murray Abraham,Estados Unidos
Jürgen Prochnow,Alemania
Paul Newman,Estados Unidos
Malcolm McDowell,Reino Unido
Keir Dullea,Estados Unidos
Peter O'Toole,Irlanda
Jack Lemmon,Estados Unidos
Cary Grant,Reino Unido
Gene Kelly,Estados Unidos
Takashi Shimura,Japón
Lamberto Maggiorani,Italia
Fred MacMurray,Estados Unidos
Orson Welles,Estados Unidos
Peter Lorre,Hungría
Brigitte Helm,Alemania
Sushant Singh Rajput,India
Vicky Kaushal,India
Yash,India
Viggo Mortensen,Estados Unidos
Frances McDormand,Estados Unidos
Irrfan Khan,India
Prabhas,India
Carlos Martínez López,México
Ajay Devgn,India
Kangana Ranaut,India
Lembit Ulfsak,Estonia
Farhan Akhtar,India
Manoj Bajpayee,India
Rajat Barmecha,India
Ricardo Darín,Argentina
Tom Hardy,Reino Unido
Bob Peterson,Estados Unidos
Shah Rukh Khan,India
Daniel Day-Lewis,Reino Unido
Ivana Baquero,España
Hugo Weaving,Nigeria
Amitabh Bachchan,India
Bruno Ganz,Suiza
Ivana Baquero,España
Hugo Weaving,Nigeria
Amitabh Bachchan,India
Bruno Ganz,Suiza
Chieko Baishô,Japón
Akshay Kumar,India
Jason Flemyng,Reino Unido
Sener Sen,Turquía
Davor Dujmovic,Bosnia and Herzegovina
Hitoshi Takagi,Japón
Bruce Willis,Alemania
Alisa Freyndlikh,Rusia
Ingrid Bergman,Sweden
Anthony Quinn,México
Sanjeev Kumar,India
Terry Jones,Reino Unido
Steve McQueen,Estados Unidos
Gregory Peck,Estados Unidos
Spencer Tracy,Estados Unidos
Marilyn Monroe,Estados Unidos
Victor Sjöström,Sweden
Max von Sydow,Sweden
Jean Servais,Belgium
Ray Milland,Reino Unido
Chishû Ryû,Japón
Bette Davis,Estados Unidos
Carole Lombard,Estados Unidos
Buster Keaton,Estados Unidos
Noémie Merlant,Francia
Taapsee Pannu,India
Miyu Irino,Japón
Mario Casas,España
Kim Min-hee,South Korea
Anne Dorval,Canadá
Shahid Kapoor,India
Hugh Jackman,Australia
Brie Larson,Estados Unidos
Darío Grandinetti,Argentina
Kemp Powers,Estados Unidos
Haluk Bilginer,Turquía
Paresh Rawal,India
Ralph Fiennes,Reino Unido
Ben Affleck,Estados Unidos
Aoi Miyazaki,Japón
Andrew Garfield,Estados Unidos
Ronnie Del Carmen,Philippines
Ranbir Kapoor,India
Chiwetel Ejiofor,Reino Unido
Daniel Brühl,Alemania
Matt Damon,Estados Unidos
Mark Ruffalo,Estados Unidos
David Rawle,Irlanda
Vidya Balan,India
Hrithik Roshan,India
Anupam Kher,India
Daniel Radcliffe,Reino Unido
Masahiro Motoki,Japón
Richard Gere,Estados Unidos
Toni Collette,Australia
Chris Sanders,Estados Unidos
Emile Hirsch,Estados Unidos
Joel Coen,Estados Unidos
Sanjay Dutt,India
Hilary Swank,Estados Unidos
Don Cheadle,Estados Unidos
Jang Dong-Gun,South Korea
Ethan Hawke,Estados Unidos
Uma Thurman,Estados Unidos
Lee Unkrich,Estados Unidos
Emilio Echevarría,México
David Silverman,Estados Unidos
Kazuya Tsurumaki,Japón
Tim Roth,Reino Unido
Bajram Severdzan,Serbia
Ethan Coen,Estados Unidos
Tony Chiu-Wai Leung,Hong Kong
Ewan McGregor,Reino Unido
Predrag 'Miki' Manojlovic,Serbia
Vincent Cassel,Francia
Irène Jacob,Francia
Brigitte Lin,Taiwan
Sam Neill,Irlanda
Leslie Cheung,Hong Kong
Gong Li,China
Wil Wheaton,Estados Unidos
Charlie Sheen,Estados Unidos
Harry Dean Stanton,Estados Unidos
Sumi Shimamoto,Japón
Kurt Russell,Estados Unidos
Bob Geldof,Irlanda
Klaus Kinski,Alemania
Bertil Guve,Sweden
Anthony Hopkins,Reino Unido
Graham Chapman,Reino Unido
Sylvester Stallone,Estados Unidos
Faye Dunaway,Estados Unidos
Ryan O'Neal,Estados Unidos
Margarita Terekhova,Rusia
Harriet Andersson,Sweden
Natalya Bondarchuk,Rusia
Alain Delon,Francia
Bibi Andersson,Sweden
Anatoliy Solonitsyn,Rusia
Brahim Hadjadj,Algeria
Silvia Pinal,México
Eduard Abalov,Rusia
Jean-Pierre Léaud,Francia
Charlton Heston,Estados Unidos
Giulietta Masina,Italia
Yves Montand,Francia
James Cagney,Estados Unidos
Emeric Pressburger,Hungría
Margaret Sullavan,Estados Unidos
Laurence Olivier,Reino Unido
George Cukor,Estados Unidos
Jean Gabin,Francia
Clark Gable,Estados Unidos
Maria Falconetti,Francia
George O'Brien,Estados Unidos
Werner Krauss,Alemania
Willem Dafoe,Estados Unidos
Salman Khan,India
Ryan Gosling,Canadá
Dev Patel,Reino Unido
Rich Moore,Estados Unidos
Chloë Grace Moretz,Estados Unidos
Jacob Tremblay,Canadá
Vijay Varma,India
Iko Uwais,Indonesia
Benedict Cumberbatch,Reino Unido
Chris Pratt,Estados Unidos
Rami Malek,Estados Unidos
Logan Lerman,Estados Unidos
Wagner Moura,Brazil
Colin Firth,Reino Unido
Emma Stone,Estados Unidos
Ryan Reynolds,Canadá
Golshifteh Farahani,Irán
Abhay Deol,India
Donnie Yen,Hong Kong
Loveleen Tandan,India
Natalie Portman,Israel
Robert Downey Jr.,Estados Unidos
Marjane Satrapi,Irán
Will Smith,Estados Unidos
Seung-Yun Lee,South Korea
Quentin Tarantino,Estados Unidos
Laura Obiols,España
Cem Yilmaz,Turquía
