,Director,Country,Birth year
0,Gary Trousdale,Estados Unidos,1960
1,Kevin Costner,Estados Unidos,1955
2,Spike Lee,Estados Unidos,1957
3,Barry Levinson,Estados Unidos,1942
4,Katsuhiro Ôtomo,Japon,1954
5,Louis Malle,Francia,1932
6,Richard Attenborough,Inglaterra,1923
7,Hal Ashby,Estados Unidos,1929
8,Woody Allen,Estados Unidos,1935
9,Mel Brooks,Estados Unidos,1926
10,Franklin J. Schaffner,Estados Unidos,1920
11,William Friedkin,Estados Unidos,1935
12,Norman Jewison,Canadá,1926
13,Bernardo Bertolucci,Italia,1941
14,Mike Nichols,Estados Unidos,1931
15,Robert Wise,Estados Unidos,1914
16,Jean-Luc Godard,Francia,1930
17,Robert Rossen,Estados Unidos,1908
18,Howard Hawks,Estados Unidos,1896
19,Otto Preminger,Austria,1905
20,Richard Brooks,Estados Unidos,1912
21,Alexander Mackendrick,Escocia,1912
22,Charles Laughton,Inglaterra,1899
23,Nicholas Ray,Estados Unidos,1911
24,Robert Hamer,Inglaterra,1911
25,Jacques Tourneur,Francia,1904
26,W.S. Van Dyke,Estados Unidos,1889
27,Lewis Milestone,Rusia,1895
28,Sergei M. Eisenstein,Rusia,1898
29,Rian Johnson,Estados Unidos,1973
30,Mukesh Chhabra,India,1971
31,Hirokazu Koreeda,Japon,1962
32,Noah Baumbach,Estados Unidos,1969
33,Luca Guadagnino,Italia,1971
34,Ken Loach,Inglaterra,1936
35,Taika Waititi,Nueva Zelanda,1975
36,Matt Ross,Estados Unidos,1970
37,John Carney,Irlanda,1972
38,Dan Gilroy,Estados Unidos,1959
39,J.J. Abrams,Estados Unidos,1966
40,Michel Hazanavicius,Francia,1967
41,Doug Liman,Estados Unidos,1965
42,Michael Haneke,Austria,1942
43,Jacques Audiard,Francia,1952
44,Duncan Jones,Inglaterra,1971
45,Tomas Alfredson,Suiza,1965
46,Neill Blomkamp,Sudáfrica,1979
47,Imtiaz Ali,India,1971
48,Cristian Mungiu,Rumania,1968
49,Richard Schenkman,Estados Unidos,1962
50,Tarsem Singh,India,1961
51,Ang Lee,Taiwán,1954
52,Christophe Barratier,Francia,1963
53,Jon Favreau,Estados Unidos,1966
54,Edgar Wright,Inglaterra,1974
55,Fatih Akin,Alemania,1973
56,Alfonso Cuarón,México,1961
57,Pedro Almodóvar,España,1949
58,Danis Tanovic,Bosnia y Herzegovina,1969
59,Shin'ichirô Watanabe,Japon,1965
60,Fabián Bielinsky,Argentina,1959
61,Cameron Crowe,Estados Unidos,1957
62,Yoshifumi Kondô,Japon,1958
63,Lee Tamahori,Nueva Zelanda,1950
64,Tony Scott,Inglaterra,1944
65,Yoshiaki Kawajiri,Japon,1950
66,Bob Clark,Canadá,1939
67,John Landis,Estados Unidos,1950
68,Bob Fosse,Estados Unidos,1927
69,George A. Romero,Estados Unidos,1940
70,Alan J. Pakula,Estados Unidos,1928
71,Alejandro Jodorowsky,Chile,1929
72,Sam Peckinpah,Estados Unidos,1925
73,Anthony Harvey,Inglaterra,1930
74,John Frankenheimer,Estados Unidos,1930
75,Michelangelo Antonioni,Italia,1912
76,Alain Resnais,Francia,1922
77,Cecil B. DeMille,Estados Unidos,1881
78,Fred Zinnemann,Austria,1907
79,Henry Koster,Alemania,1905
80,George Seaton,Estados Unidos,1911
81,George Cukor,Estados Unidos,1899
82,Sam Wood,Estados Unidos,1883
83,Merian C. Cooper,Estados Unidos,1893
84,Tod Browning,Estados Unidos,1880
85,Darius Marder,Estados Unidos,1980
86,Paolo Genovese,Italia,1972
87,Theodore Melfi,Estados Unidos,1960
88,Paul King,Inglaterra,1975
89,Abhishek Chaubey,India,1977
90,Travis Knight,Estados Unidos,1973
91,Kenneth Lonergan,Estados Unidos,1962
92,Martin Zandvliet,Dinamarca,1971
93,Gareth Edwards,Inglaterra,1975
94,Greta Gerwig,Estados Unidos,1983
95,Dorota Kobiela,Polonia,1980
96,Matthew Warchus,Inglaterra,1966
97,Paolo Sorrentino,Italia,1970
98,Ritesh Batra,India,1979
99,Shoojit Sircar,India,1967
100,Don Hall,Estados Unidos,1971
101,Richard Curtis,Inglaterra,1956
102,Gauri Shinde,India,1972
103,Josh Cooley,Estados Unidos,1980
104,Adam McKay,Estados Unidos,1968
105,Tetsuya Nakashima,Japon,1959
106,Jee-woon Kim,Corea del Sur,1964
107,Jeong-beom Lee,Corea del Sur,1975
108,F. Gary Gray,Estados Unidos,1969
109,Hong-jin Na,Corea del Sur,1974
110,Niels Arden Oplev,Dinamarca,1961
111,Aaron Sorkin,Estados Unidos,1961
112,David O. Russell,Estados Unidos,1958
113,Pierre Morel,Francia,1964
114,Mark Herman,Inglaterra,1948
115,Joe Wright,Inglaterra,1972
116,Nicolas Winding Refn,Dinamarca,1970
117,Jaco Van Dormael,Bélgica,1957
118,Jonathan Dayton,Estados Unidos,1958
119,Yash Chopra,India,1932
120,Anders Thomas Jensen,Dinamarca,1972
121,Roger Donaldson,Nueva Zelanda,1945
122,Mikael Håfström,Suecia,1960
123,Nick Cassavetes,Estados Unidos,1959
124,Lukas Moodysson,Suecia,1969
125,Sylvain Chomet,Francia,1963
126,Kevin Reynolds,Estados Unidos,1952
127,Boaz Yakin,Estados Unidos,1966
128,Troy Duffy,Estados Unidos,1971
129,Joe Johnston,Estados Unidos,1950
130,Andrew Adamson,Nueva Zelanda,1966
131,Takeshi Kitano,Japon,1947
132,Andrew Niccol,Nueva Zelanda,1964
133,George P. Cosmatos,Italia,1941
134,David Mickey Evans,Estados Unidos,1962
135,James Ivory,Estados Unidos,1928
136,Andrew Davis,Estados Unidos,1946
137,Robert De Niro,Estados Unidos,1943
138,Kevin Altieri,Estados Unidos,1958
139,John Woo,Hong Kong,1946
140,Jim Jarmusch,Estados Unidos,1953
141,John Singleton,Estados Unidos,1968
142,Penny Marshall,Estados Unidos,1942
143,Sam Raimi,Estados Unidos,1959
144,John Hughes,Estados Unidos,1950
145,Richard Donner,Estados Unidos,1930
146,Roland Joffé,Inglaterra,1945
147,Ivan Reitman,Checoslovaquia,1946
148,Philip Kaufman,Estados Unidos,1936
149,Robert Benton,Estados Unidos,1932
150,Terrence Malick,Estados Unidos,1943
151,René Laloux,Francia,1929
152,Mel Stuart,Estados Unidos,1928
153,John Schlesinger,Inglaterra,1926
154,Terence Young,Inglaterra,1915
155,Arthur Penn,Estados Unidos,1922
